event_id,error_type,reason,event_subtype,source_tier,observable_impact_type,conflict_type,criteria_block_reason,title
adv_031,true_negative,ok,stablecoin_supply_or_flow,onchain_verified,unclear_flow_direction,threshold_boundary,observable_impact_ok,Unclear wallet movement between unknown addresses
adv_032,true_negative,ok,exchange_listing,official,official_listing,threshold_boundary,observable_impact_ok,Low liquidity token listing on minor venue
adv_033,true_negative,ok,governance,official,temperature_check,,observable_impact_ok,Protocol temperature check opens non-binding vote
adv_034,true_negative,ok,governance,official,small_tvl_change,,observable_impact_ok,Minor TVL dashboard change under reporting threshold
adv_035,true_negative,ok,exchange_listing,official,official_listing,threshold_boundary,"observable_impact_ok,not_price_in_ok",Price already moved 8 percent before announcement
adv_036,true_negative,ok,exchange_listing,official,official_listing,threshold_boundary,observable_impact_ok,Official listing but market cap is tiny and venue liquidity is weak
adv_037,true_negative,ok,exploit_or_theft,official,exploit_loss,evidence_missing_boundary,observable_impact_ok,Official exploit post says suspected loss but no transaction hash yet
adv_038,true_negative,ok,stablecoin_supply_or_flow,onchain_verified,large_confirmed_flow,direction_conflict,observable_impact_ok,Large USDT transfer from treasury to Binance but direction later reversed
adv_039,true_negative,ok,upgrade_or_fork,official,large_operational_change,impact_scope_conflict,observable_impact_ok,Mainnet hard fork activated but only affects test validator tooling
adv_040,true_negative,ok,exchange_halt,official,withdrawal_pause,liquidity_threshold_boundary,observable_impact_ok,Exchange pauses withdrawals for one low volume token
adv_041,true_negative,ok,whale_position,onchain_verified,forced_liquidation,hedge_context_conflict,observable_impact_ok,Whale liquidation above threshold but account is known market maker hedge
adv_042,true_negative,ok,etf_or_fund_flow,onchain_or_security_research,large_confirmed_flow,calendar_effect_conflict,observable_impact_ok,ETF net outflow large but due to holiday settlement catch-up
adv_043,true_negative,ok,governance,official,protocol_parameter_change,magnitude_threshold_boundary,observable_impact_ok,Official governance execution changes collateral factor by 1 percent
adv_044,true_negative,ok,exploit_or_theft,onchain_or_security_research,exploit_loss,asset_mapping_conflict,observable_impact_ok,Bridge exploit confirmed for non-tradable governance side token
adv_045,true_positive,ok,exchange_halt,official,withdrawal_pause,multi_condition_conflict,pass,Emergency oracle pause blocks major lending market withdrawals
adv_046,true_negative,ok,bankruptcy,court_or_regulatory_filing,bankruptcy_filing,price_already_untradable,observable_impact_ok,Court filing confirms asset freeze but token already halted
adv_047,true_positive,ok,stablecoin_supply_or_flow,official,depeg,multi_condition_conflict,pass,Stablecoin depeg official update during banking incident
adv_048,true_positive,ok,exchange_listing,official,official_listing,event_time_boundary,pass,CEX delisting notice with 12 hours lead time for liquid perpetual
adv_049,true_negative,ok,exploit_or_theft,onchain_or_security_research,exploit_loss,price_in_boundary,not_price_in_ok,Security firm confirms exploit amount after price fell 12 percent
adv_050,true_positive,ok,exchange_halt,onchain_verified,protocol_shutdown,source_impact_boundary,pass,Protocol shutdown confirmed by multisig transaction
adv_051,true_negative,ok,etf_or_fund_flow,onchain_or_security_research,large_confirmed_flow,calendar_effect_conflict,observable_impact_ok,ETF daily flow is 96th percentile but from normal month-end rebalance
adv_052,true_positive,ok,upgrade_or_fork,official,large_operational_change,impact_scope_boundary,pass,Official hard fork completed with fee market change
adv_053,true_positive,ok,whale_position,onchain_verified,forced_liquidation,risk_threshold_boundary,pass,Whale adds large isolated short within 3 percent of liquidation
adv_054,true_positive,ok,regulation,court_or_regulatory_filing,exchange_halt,source_impact_boundary,pass,Regulator files emergency injunction against exchange operations
adv_055,true_negative,ok,bankruptcy,community_or_unknown,rumor,source_quality_boundary,"source_basis_ok,observable_impact_ok",Unverified screenshot claims exchange insolvency
adv_056,false_positive,market_already_available,exchange_listing,official,official_listing,market_already_available,pass,Official listing notice for token already active on major perpetual venues
adv_057,false_positive,deprecated_market_scope,governance,official,protocol_parameter_change,deprecated_market_scope,pass,Official parameter execution only affects deprecated isolated lending market
adv_058,false_positive,asset_mapping_conflict_residual,exploit_or_theft,onchain_or_security_research,exploit_loss,asset_mapping_conflict_residual,pass,Bridge exploit confirmed but affected asset is an unlisted NFT collection
adv_059,false_positive,inventory_rebalance_residual,stablecoin_supply_or_flow,onchain_verified,large_confirmed_flow,inventory_rebalance_residual,pass,Large stablecoin treasury flow later identified as exchange inventory rebalancing
adv_060,false_positive,collateral_rotation_residual,whale_position,onchain_verified,forced_liquidation,collateral_rotation_residual,pass,Whale forced liquidation belongs to same-wallet collateral rotation
