candidate_id,raw_id,source_id,title,candidate_asset_symbol,source_quality_score,text_quality_score,timeliness_score,duplicate_score,relevance_score,duplicate_count,overall_quality,grade,recommended_action,quality_flags
cand_00031,news:1033:4d08adbf699fa7d7,news:jin10,阿联酋绕霍尔木兹海峡输油管道建设完成近半,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00033,2057406546930278868,webhook,"🚨 NEW POLYMARKET: SpaceX IPO date?

https://t.co/pvftT70n3L",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00034,news:1033:15c1c675c238a2e4,news:jin10,据日本电视新闻网：日本正考虑提出约3万亿日元的补充预算案,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00035,2057406109569188038,webhook,"📊 UPDATE: Top 12 perp DEX volume averaged $611.6B in 2026, with Hyperliquid dominating, per CoinGecko. https://t.co/tx6l",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00036,2057406068855087441,webhook,"Fantasy Top to shut down, says trading card game model was 'never built' for crypto",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00041,news:1033:954045a056b6153a,news:jin10,中亦科技中标某大型保险集团信创服务器项目,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00046,2057403233421889717,webhook,Bithumb宣布限制与Heleket平台相关的虚拟资产交易,,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00050,2057402119490273530,webhook,"🔥 ARTHUR HAYES ON CLARITY ACT: ""I HOPE TRUMP VETOES IT.""

Hayes said that “institutionalizing Bitcoin $BTC risks turning",BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00051,news:1033:dc85d1e8a8a4ec26,news:jin10,三星罢工威胁暂时解除，韩国股市大涨逾6%,,100,70,70,100,15,0,66.75,garbage,archive,"spam_keyword,missing_source_lag,missing_asset,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00054,2057401131991490751,webhook,"⚡️ CZ: ""Optimistic people tend to achieve their goals. Pessimistic people usually live in jealousy."" https://t.co/r9P9uU",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00062,2057398375465824709,webhook,GPT Deepseek is the most popular model on https://t.co/nMjQcILxG5 https://t.co/7dp3Ngc6IJ,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00063,2057398115691601932,webhook,"SpaceX (@SpaceX), which is reportedly preparing for an #IPO, currently holds a total of 18,712 $BTC ($1.46B).

https://t",BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00069,news:1033:4a8520f98ef16b5f,news:jin10,日本央行审议委员小枝淳子：日本央行必须评估当前中东局势将持续多久，其对全球经济及外部需求的影响，并结合当前的汇率水平，研…,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00073,2057395059923079540,webhook,"JUST IN: Pre-market just started. Strive's $SATA is only 3 cents away from par. #Bitcoin accumulation starting soon.

Po",BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00090,news:1033:822e32b3dc6f11a6,news:jin10,港股开盘，恒指开涨0.71%，科指开涨1.04%，半导体、AI应用板块多股高开，智谱(02513.HK)开涨7.84%、…,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00091,2057390692419391921,webhook,JUST IN: Bolivia moves to overhaul its cabinet as nationwide unrest &amp; highway blockades strangle La Paz.,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00096,2057389607273021544,webhook,美国财政部海外资产控制办公室（OFAC）宣布对十多名个人和实体实施制裁，这些个人和实体与两个同墨西哥西纳罗亚卡特尔（Sinaloa Cartel）相关的网络存在关联。其中一个洗钱网络涉嫌代表该卡特尔将贩卖芬太尼和其他毒品所得的现金收益转换为,,100,100,70,100,35,0,79.25,garbage,archive,"missing_source_lag,missing_asset,off_topic_macro_or_politics"
cand_00105,news:1033:fb2efe87ed44bcce,news:jin10,上海黄金交易所黄金T+D 5月21日（周四）早盘盘初上涨1.05%报994.34元/克；上海黄金交易所白银T+D 5月2…,,100,100,70,100,15,0,74.25,garbage,archive,"missing_source_lag,missing_asset,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00109,2057385925542387735,webhook,"🚨NEW: China BLOCKS a visit by Pentagon until Trump decides on a $14 BILLION Taiwan arms deal, per FT.

The arms package",,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00119,2057383389238571379,webhook,"Irish Police moving Clifton Collins’ BTC

Another 500 BTC linked to Irish drug dealer Clifton Collins just moved on-chai",BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00122,news:1033:388ec45ca2eec48b,news:jin10,招商证券：“电价+气候+算力”三重催化 看好电力板块结构性行情,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00124,2057381094295773284,webhook,"Are humanoids the future of entertainment?

https://t.co/aD3bkdVdLv",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00125,2057380713310392511,webhook,"🚨HYPERLIQUID NEARS ITS ALL-TIME HIGH AT 59$

$HYPE is now trading near its ATH around $59.30, putting bulls back in cont",HYPE,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00130,2057378685338914919,webhook,"Syndicate Labs to wind down operations after five years, citing rollup market slump",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00134,2057376851690238182,webhook,JUST IN: Brazil is reportedly expected to export an all-time high 50 million bags of green coffee in the 2026/27 crop ye,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00137,2057375912308441139,webhook,"🇮🇷 BIG: Iran’s crypto stockpile is reportedly worth ~$7,700,000,000, per Fox News. https://t.co/vkwkQK1haX",,100,100,70,100,35,0,79.25,garbage,archive,"missing_source_lag,missing_asset,off_topic_macro_or_politics"
cand_00138,2057375842079306002,webhook,"🔥TAX EVADERS FOUND HIDING $1.1 MILLION ON BITCOIN

Bitcoin Ordinals and BRC-20 tokens are now being used by tax evaders",BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00158,2057371258363465731,webhook,https://t.co/xoq6jaUZJN,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00164,news:1033:3c53904c734b987e,news:jin10,中信建投：全球石油库存锐减 能源短缺风险加剧,,100,70,70,100,0,0,63.0,garbage,archive,"spam_keyword,missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00166,news:1033:199ec5fadc030546,news:jin10,日本4月季调后商品贸易帐 2364亿日元，预期-2002亿日元，前值907亿日元,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00168,news:1033:439ee3ef12bf8a83,news:jin10,日本至5月15日当周外资买进日债 -10334亿日元，前值1062亿日元,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00169,news:1033:eaedf29ce72800b9,news:jin10,日本至5月15日当周买进外国股票 414亿日元，前值-5936亿日元,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00170,news:1033:53f11e2d337657c3,news:jin10,日本至5月15日当周买进外国债券 7587亿日元，前值由16407亿日元修正为16443亿日元,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00171,news:1033:f16d3c7b87056872,news:jin10,日本4月未季调商品贸易帐 3019亿日元，预期-445亿日元，前值由6670亿日元修正为6430亿日元,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00172,news:1033:5e1ca90db5674020,news:jin10,日本至5月15日当周外资买进日股 9496亿日元，前值由14375亿日元修正为13935亿日元,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00174,2057367411188437043,webhook,"loracle.hl(@loraclexyz)'s $HYPE short has now grown to over $100M!

He is currently down over $23M, with a liquidation p",HYPE,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00180,2057365865767551247,webhook,When did you buy your first Bitcoin? 🧡 https://t.co/AU1r4JJLhG,BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00187,2057365023303795030,webhook,JUST IN: UK commits $26.87 million to help contain the Ebola outbreak in Congo.,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00211,2057358228753985836,webhook,"🚨 ANOTHER ETHEREUM BUILDER JUST SHUT DOWN

Syndicate Labs is closing after 5 years of building infrastructure for custom",ETH,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00217,2057355833147621754,webhook,"🚨 UPDATE: Bitcoin has been rejected at the 200-day MA, mirroring the March 2022 bear market setup, historically a signal",BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00241,news:1033:dec277af0065bef0,news:jin10,国际货币基金组织：IMF工作人员结束对巴基斯坦的访问,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00243,2057347939459051596,webhook,"All time $HYPE is almost here. $150 is much closer than it was. 

Yachtzee 😘😘😘😘 https://t.co/N6t3u2OcfR",HYPE,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00246,2057347407159984350,webhook,JUST IN: China is reportedly refusing to approve a Pentagon official’s Beijing visit until Trump decides whether to proc,,100,100,70,100,35,0,79.25,garbage,archive,"missing_source_lag,missing_asset,off_topic_macro_or_politics"
cand_00249,2057345867754184716,webhook,"JD Vance just tried to shut down insider trading concerns by saying Trump isn’t making the trades himself, his advisors",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00252,2057345441834910106,webhook,"Iran dismisses speculation over @araghchi's possible New York trip

https://t.co/VyQfwFPnli https://t.co/CEer8JzRj0",,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00260,2057340731933499778,webhook,"🚨 INTERESTING: SpaceX says Starship could reduce most international long-haul flights to under 30 minutes, per its IPO f",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00261,2057340728146366797,webhook,Closing half of the gap with frontier emerging markets could boost output in sub-Saharan Africa by about 20% within a de,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00265,news:1033:18e2bd6d666ba30e,news:jin10,英伟达CEO黄仁勋：包含人工智能新型云业务的新报告板块增速将超过超大规模数据中心子板块,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00267,2057338969202049069,webhook,WBTC and HTX are now live on https://t.co/nMjQcILxG5,,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00274,news:1033:80b3dec575a66094,news:jin10,英伟达CEO黄仁勋：包括自身产品在内的基于SRAM的AI芯片，在一段时间内将是一个小众产品,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00278,news:1033:e4bf73eefe13d7ac,news:jin10,英伟达CEO黄仁勋：我们的增长速度应该会超过超大规模企业的资本支出增速,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00283,news:1033:41cb3ab623d478dc,news:jin10,英伟达(NVDA.O)CFO：预计2027财年全年税率为16%至18%，低于初步预期,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00284,2057332056099901486,webhook,NEW: Former Austrian intelligence officer found guilty of spying for Russia.,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00288,2057330610612441235,webhook,"🚨 NOW: Elon Musk announces SpaceX is actively hiring world-class engineers and physicists for SpaceXAI, saying ""smart hu",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00291,news:1033:2605cdf1bbefcb8d,news:jin10,英伟达(NVDA.O)CFO：所有主要的超大规模企业、云服务商和模型开发商都在使用英伟达的Blackwell平台,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00292,news:1033:36b2b826ba6469ec,news:jin10,英伟达(NVDA.O)CFO：连续表态（共 2 条）,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00293,news:2012:3144e0d61288aca7,news:odaily_exchange_gap,SOL生态代币普涨，FIDA涨超34%,SOL,100,70,70,100,100,0,88.0,potential,continue_classify,"spam_keyword,missing_source_lag"
cand_00296,2057327713065808101,webhook,"A newly created wallet (t3TFwP) just withdrew 11,827 $ZEC($7.96M) from #Binance.

https://t.co/C5V15YF8jx https://t.co/5",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00300,2057325599287312504,webhook,摩根大通首席执行官：将招聘更多AI专家，减少传统银行家,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00303,news:1033:52e9dcb5fbad36e6,news:jin10,SpaceX：计划在月球和火星建立制造基础设施,,100,100,70,100,45,0,81.75,potential,continue_classify,"missing_source_lag,missing_asset,macro_wire_without_asset"
cand_00305,news:1033:8614ee5b15b1f465,news:jin10,SpaceX：在五月，与Anthropic签署了云服务协议,,100,100,70,100,45,0,81.75,potential,continue_classify,"missing_source_lag,missing_asset,macro_wire_without_asset"
cand_00308,news:3002:cd595de623a8e2bd,tg:onemillion_ai,智谱联合提出下一代大模型推理网络架构ZCube，破解PD分离引发的结构性网络拥塞,,100,70,70,100,65,0,79.25,potential,continue_classify,"spam_keyword,missing_source_lag,missing_asset"
cand_00316,2057320689267610039,webhook,Shame,,100,50,70,100,20,0,63.0,garbage,archive,"short_title,thin_content,missing_source_lag,missing_asset,low_crypto_relevance"
cand_00317,news:1033:2f4848075a0e6614,news:jin10,英伟达(NVDA.O)：我们的网络产品全球供应链未受到中东冲突的显著影响,,100,70,70,100,0,0,63.0,garbage,archive,"spam_keyword,missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00320,2057320319766200452,webhook,"A newly created wallet withdrew 11,827 $ZEC worth $7.97M from #Binance

https://t.co/jgYFzAzznB https://t.co/knNO6h5KMe",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00324,2057318638953377844,webhook,Hyperliquid has flipped Solana by FDV. https://t.co/rDF5FRg4TK,SOL,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00327,2057317813115932930,webhook,"A newly created wallet withdrew 5,000 $ZEC worth $3.37M from #Binance

https://t.co/jgYFzAzznB https://t.co/Sfx6DoOEqL",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00328,news:1033:cf9157da011c827f,news:jin10,英伟达(NVDA.O)：将拥有数据中心和边缘计算市场平台,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00330,news:1033:2a1a44fea166c94e,news:jin10,英伟达(NVDA.O)美股盘后转涨，其第一财季营收及第二财季营收展望均超出平均预期,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00343,2057313936765267981,webhook,"🚨 NEW POLYMARKET: Prabowo Subianto out as President of Indonesia by...?

https://t.co/mqy9I4mmnq",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00346,news:1033:7a62e7c478fed61e,news:jin10,英国首相办公室：连续表态（共 2 条）,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00350,2057310563022279120,webhook,"Many people misunderstand my (lack of) ambition.

I never tried to be the world's number 1 at anything. I always just tr",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00359,news:1033:971c34fd0aa1caac,news:jin10,英伟达将于十分钟后在美股盘后公布财报并举行电话会,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00367,news:1033:d612f99516d9ed44,news:jin10,美国财长贝森特：在巴黎与卡塔尔财政大臣讨论了伊朗问题,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00368,news:1033:951a5f7389aee5c0,news:jin10,古巴国家主席：美国所谓“指控”出于政治动机 愈加暴露其挫败感,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00376,news:1033:56204f07fc418f07,news:jin10,摩根士丹利：AI并购潮呈现“全谱系”发展趋势,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00380,2057299032234701017,webhook,真是没道理🙃 https://t.co/MpzDAThUVK,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00383,2057297152100237696,webhook,吴说获悉，据香港证券及期货事务监察委员会（SFC）官方网站更新信息显示，NewBX Limited 集团已于 2026 年 5 月 18  日正式获批《证券及期货条例》及/或《打击洗钱条例》下的相关牌照。 其获批的受规管活动及业务包括：证券,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00384,2057297028171092409,webhook,newbx limited获批香港虚拟资产交易平台牌照,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00386,2057296183534494004,webhook,JUST IN: SpaceX’s IPO filing says Starship could enable point-to-point travel anywhere on Earth in about 30 minutes or l,,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00393,2057295017484628258,webhook,"loracle.hl(@loraclexyz) is now down nearly $20M on his $HYPE short, but he is still adding to it.

He currently holds a",HYPE,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00397,2057294140036255938,webhook,CZ：比特币仍占主导地位，未来将更需高效货币,BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00398,2057293858455658689,webhook,🥩🥩🥩,,100,10,70,100,20,0,53.0,garbage,archive,"short_title,emoji_heavy,special_char_heavy,thin_content,missing_source_lag,missing_asset,low_crypto_relevance"
cand_00399,2057293159277977828,webhook,⛏️⛏️⛏️,,100,10,70,100,20,0,53.0,garbage,archive,"short_title,emoji_heavy,special_char_heavy,thin_content,missing_source_lag,missing_asset,low_crypto_relevance"
cand_00405,2057291744786727193,webhook,🧠🧠🧠,,100,10,70,100,20,0,53.0,garbage,archive,"short_title,emoji_heavy,special_char_heavy,thin_content,missing_source_lag,missing_asset,low_crypto_relevance"
cand_00407,2057291318351794635,webhook,Why not for bird lovers?,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00414,news:1033:8a2fd785fad4c4bc,news:jin10,西班牙首相桑切斯：以色列部长羞辱“全球坚韧船队”成员的画面是不可接受的,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00415,news:1033:8d0ad7e1e09e7728,news:jin10,花旗集团CEO弗雷泽：连续表态（共 2 条）,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,macro_wire_without_asset"
cand_00418,news:1033:d64ed5e5bbab5214,news:jin10,上海黄金交易所黄金T+D 5月20日（周三）晚盘收盘上涨1.05%报994.34元/克；上海黄金交易所白银T+D 5月2…,,100,100,70,100,15,0,74.25,garbage,archive,"missing_source_lag,missing_asset,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00419,2057289346726928545,webhook,Vib needs more monitors.,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00422,news:2012:196e737528334681,news:odaily_exchange_gap,韩国KOSPI指数涨幅扩大至7%，LG电子涨超24%,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics"
cand_00424,2057287271687020649,webhook,NEW: Self-driving Waymo stranded in rising floodwaters during flash flooding in Atlanta.,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00426,2057286039085912135,webhook,Trying have a totally formally proven design for perps sucks.,,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00435,2057284545217736885,webhook,🧠🧠🧠,,100,10,70,100,20,0,53.0,garbage,archive,"short_title,emoji_heavy,special_char_heavy,thin_content,missing_source_lag,missing_asset,low_crypto_relevance"
cand_00437,2057284371552645562,webhook,🤫🤫🤫,,100,10,70,100,20,0,53.0,garbage,archive,"short_title,emoji_heavy,special_char_heavy,thin_content,missing_source_lag,missing_asset,low_crypto_relevance"
cand_00439,2057283922053263772,webhook,💯💯💯,,100,10,70,100,20,0,53.0,garbage,archive,"short_title,emoji_heavy,special_char_heavy,thin_content,missing_source_lag,missing_asset,low_crypto_relevance"
cand_00446,2057281422126199023,webhook,JUST IN: Hyperliquid flips Solana in fully diluted valuation.,SOL,100,100,70,40,100,1,86.5,potential,continue_classify,"missing_source_lag,potential_duplicate"
cand_00449,2057280911205433730,webhook,JUST IN: Hyperliquid flips Solana in fully diluted valuation.,SOL,100,100,70,40,100,1,86.5,potential,continue_classify,"missing_source_lag,potential_duplicate"
cand_00468,2057274777887261030,webhook,"JUST IN: California doctor convicted in what the FBI calls the ""largest Botox fraud scheme in U.S. history.""",,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
cand_00469,2057274494977249773,webhook,"I strongly recommend reading this Alphractal post.

It provides excellent context on the Bitcoin cycle using a powerful",BTC,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00470,news:1033:729adf1c2477822b,news:jin10,据伊朗电视台：伊朗外长阿拉格奇正在准备前往美国，参加联合国会议,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00473,news:1033:a2cf873eee16595b,news:jin10,伊朗总统佩泽希齐扬在伊朗会见了巴基斯坦内政部长莫辛·纳克维,,100,100,70,100,0,0,70.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00474,news:1033:7d3e16f80bf37469,news:jin10,伊朗称将在“强烈不信任美国”的情况下继续推进谈判,,100,70,70,100,0,0,63.0,garbage,archive,"spam_keyword,missing_source_lag,missing_asset,low_crypto_relevance,off_topic_macro_or_politics,macro_wire_without_asset"
cand_00483,2057268587233194323,webhook,"A smart trader who made $1.4M on $ALON spent $12.6K to buy 5M $VIRL over the past 2 days, right after $VIRL was added to",,100,100,70,100,65,0,86.75,potential,continue_classify,"missing_source_lag,missing_asset"
cand_00488,2057267080211394795,webhook,Congrats hype hodlers.  Well deserved.  It’s a no bullshit awesome product.  🎂🎂🎂,HYPE,100,100,70,100,100,0,95.5,potential,continue_classify,missing_source_lag
cand_00491,2057266345910403170,webhook,You can’t beat our top trader,,100,100,70,100,20,0,75.5,garbage,archive,"missing_source_lag,missing_asset,low_crypto_relevance"
