command_id,category,command,purpose,primary_outputs,safe_default,requires_network,requires_secret,notes,script_exists
source_quality_reports_v081,source_quality,python scripts/run_v081_source_quality_reports.py,"Run token unlock calendar quality, CEX netflow baseline, Hyperliquid state history, historical usefulness, and source readiness reports.",results/v081_token_unlock_calendar_quality_report.md; results/v081_cex_netflow_baseline_report.md; results/v081_hyperliquid_state_history_report.md; results/v081_source_readiness_report.md,yes,no,no,"Local report refresh only. Does not send Telegram messages, call Notion, or trade.",yes
source_registry_report_v11,source_quality,python scripts/build_source_registry_report.py --registry data/source_registry.csv --summary results/source_registry_report.csv --output results/source_registry_report.md,"Validate source registry coverage against watcher events, alert ledger, and decision logs.",results/source_registry_report.md; results/source_registry_report.csv,yes,no,no,Source governance report. Does not send Telegram messages or call external APIs.,yes
source_effectiveness_report_v11,source_quality,python scripts/build_source_effectiveness_report.py --registry data/source_registry.csv --output results/source_effectiveness_report.csv --markdown-output results/source_effectiveness_report.md --summary results/source_effectiveness_summary.csv,"Estimate source-level usefulness from sent alert ledger, outcome rows, and routing decisions.",results/source_effectiveness_report.md; results/source_effectiveness_report.csv; results/source_effectiveness_summary.csv,yes,no,no,Insufficient samples are reported explicitly. Research/source QA only.,yes
event_type_performance_matrix_v11,source_quality,python scripts/build_event_type_performance_matrix.py --outcomes data/tg_alert_outcomes.csv --historical-backfill results/v08_historical_replay_broad_200_price_backfill.csv --historical-quality results/v08_historical_replay_broad_200_quality_report.csv --output results/event_type_performance_matrix.csv --summary results/event_type_performance_matrix_summary.csv --markdown-output results/event_type_performance_matrix.md,Build event-type/source-subtype performance matrix across live and historical outcomes.,results/event_type_performance_matrix.md; results/event_type_performance_matrix.csv; results/event_type_performance_matrix_summary.csv,yes,no,no,Separates insufficient samples and weak/context-only buckets. No trade instructions.,yes
historical_signal_replay_non_benchmark_alt_50,backtest,python scripts/run_v08_historical_signal_replay.py --limit 50 --mode non_benchmark_alt,"Replay mature historical non-BTC/ETH, non-macro altcoin candidates to reduce benchmark/macro pollution.",data/events_v08_historical_replay_non_benchmark_alt_50.csv; results/v08_historical_replay_non_benchmark_alt_50_price_backfill.csv; results/v08_historical_replay_non_benchmark_alt_50_findings.md,conditional,yes,no,Uses public Binance data and local cache. Research/source QA only; not a publishing or trade rule.,yes
event_type_performance_matrix_non_benchmark_alt_v11,source_quality,python scripts/build_event_type_performance_matrix.py --outcomes data/tg_alert_outcomes.csv --historical-backfill results/v08_historical_replay_non_benchmark_alt_200_price_backfill.csv --historical-quality results/v08_historical_replay_non_benchmark_alt_200_quality_report.csv --output results/event_type_performance_matrix_non_benchmark_alt.csv --summary results/event_type_performance_matrix_non_benchmark_alt_summary.csv --markdown-output results/event_type_performance_matrix_non_benchmark_alt.md,Build event performance matrix from the non-benchmark altcoin historical replay sample.,results/event_type_performance_matrix_non_benchmark_alt.md; results/event_type_performance_matrix_non_benchmark_alt.csv; results/event_type_performance_matrix_non_benchmark_alt_summary.csv,yes,no,no,Used by v11 signal policy to reduce BTC/macro benchmark pollution.,yes
signal_policy_v12_strict,source_quality,python scripts/validate_whale_position_contamination.py && python scripts/validate_hack_classification.py && python scripts/apply_boost_criteria_v12.py,Build strict contamination-aware TG routing policy after whale and hack subtype validation.,data/tg_signal_policy_v12.csv; results/v12_boost_criteria_report.csv; results/v12_whale_position_contamination_report.md; results/v12_hack_classification_report.csv,yes,no,no,"Prevents apparent historical alpha from becoming a boost when HYPE, single-asset, short-window, or hack-subtype contamination is detected.",yes
v13_historical_quality_audit,source_quality,python scripts/validate_price_in_effect.py && python scripts/grade_other_quality.py && python scripts/analyze_hype_contamination_detail.py && python scripts/analyze_whale_position_asset_contamination.py && python scripts/build_source_identity_layers.py && python scripts/build_regime_layer_report.py && python scripts/validate_hack_classification.py && python scripts/build_active_exploit_urgent_candidates.py && python scripts/apply_boost_criteria_v12.py,"Run the Claude-directed v13 historical quality audit: price-in, other grading, HYPE/whale contamination, source identity, regime layer, and active-exploit urgent candidates.",results/v13_price_in_report.md; results/v13_other_quality_report.md; results/v13_hype_contamination_report.md; results/v13_whale_asset_contamination_report.md; data/source_identity_layers.csv; results/v13_regime_layer_report.md; results/v13_active_exploit_urgent_candidates.md; data/tg_signal_policy_v12.csv,conditional,yes,no,Uses public Binance for price-in/regime checks. Research/source QA only; no trade advice and no TG sending.,yes
v13_extended_history_replay_500,backtest,python scripts/run_v08_historical_signal_replay.py --input data/event_candidates_real_5000_older_7_365d_mature_tightened.csv --limit 500 --mode non_benchmark_alt,Run extended strict non-benchmark alt historical replay after candidate tightening and HYPE whale exclusion.,results/v08_historical_replay_non_benchmark_alt_500_price_backfill.csv; results/v08_historical_replay_non_benchmark_alt_500_quality_report.csv; results/v08_historical_replay_non_benchmark_alt_500_findings.md,conditional,yes,no,Uses public Binance data. Current strict eligible count is below 500 when source quality is enforced.,yes
v13_post_hype_source_regime_refresh,source_quality,python scripts/archive_hype_and_recompute_stats.py --backfill results/v08_historical_replay_non_benchmark_alt_500_price_backfill.csv --output data/backtest_v13_extended_alt_history_clean.csv --summary results/v13_extended_post_hype_removal_summary.csv --group-stats results/v13_extended_post_hype_removal_group_stats.csv --markdown-output results/v13_extended_post_hype_removal_report.md && python scripts/analyze_whale_position_asset_contamination.py --backfill results/v08_historical_replay_non_benchmark_alt_500_price_backfill.csv --output results/v13_extended_whale_asset_contamination_report.csv --summary results/v13_extended_whale_asset_contamination_summary.csv --markdown-output results/v13_extended_whale_asset_contamination_report.md && python scripts/build_source_identity_layers.py --candidates data/event_candidates_real_5000_older_7_365d_mature_tightened.csv --backfill results/v08_historical_replay_non_benchmark_alt_500_price_backfill.csv --output data/source_identity_layers_v13_extended.csv --summary results/v13_extended_source_identity_summary.csv --markdown-output results/v13_extended_source_identity_layers.md && python scripts/score_and_throttle_sources.py --source-layers data/source_identity_layers_v13_extended.csv --clean-backfill data/backtest_v13_extended_alt_history_clean.csv --output data/source_scores_v13_extended.csv --rules results/v13_extended_source_throttle_rules.csv --markdown-output results/v13_extended_source_throttle_report.md,"Refresh post-HYPE group stats, whale contamination, source identity, and source throttling from the extended replay.",results/v13_extended_post_hype_removal_report.md; results/v13_extended_whale_asset_contamination_report.md; data/source_scores_v13_extended.csv; results/v13_extended_source_throttle_report.md,yes,no,no,No Telegram sending. Used to keep product routing aligned with historical quality results.,yes
v14_time_and_source_audit,source_quality,python scripts/diagnose_remote_time_fields.py && python scripts/split_webhook_subsources.py && python scripts/analyze_needs_taxonomy_review.py,"Run Claude-directed v14 fixes for remote time-field diagnosis, webhook subsource scoring, and needs_taxonomy_review cleanup.",results/v14_time_field_diagnosis.md; data/source_scores_v14_webhook_split.csv; data/taxonomy_review_reclassified.csv,conditional,yes,conditional,Time diagnosis may use remote read-only export credentials if configured locally. Does not modify remote data or send Telegram messages.,yes
v14_digest_quality_filters,publishing_quality,python scripts/split_flow_event_subtypes.py; python scripts/filter_etf_fund_flow.py; python scripts/verify_exploit_amounts.py; python scripts/build_v14_short_price_in.py --limit 281; python scripts/classify_v14_upgrade_events.py; python scripts/build_v14_prefilter.py; python scripts/build_v14_composer_scores.py; python scripts/apply_v14_publish_policy.py; python scripts/define_publishable_event_criteria.py; python scripts/apply_v14_publish_policy.py; python scripts/build_v14_digest_preview.py,"Split flow subtypes, apply v14 quality filters, build short price-in checks, classify upgrade events, run hard PreFilter, build gate-based Composer output, evaluate minimum publishable criteria, enforce block/digest/interrupt policy, then build a strict digest preview.",data/v14_flow_event_subtypes.csv; data/etf_fund_flow_filtered.csv; data/active_exploit_verified.csv; data/v14_short_price_in.csv; data/v14_upgrade_events.csv; data/v14_prefilter_results.csv; data/v14_composer_scores.csv; data/v14_publishable_criteria_eval.csv; data/v14_publish_policy_candidates.csv; results/v14_digest_preview.md,yes,no,no,"Preview only. Does not send Telegram messages and excludes rows failing source, amount, context, or asset-consistency gates.",yes
v14_security_alert_ingest,source_ingest,python scripts/ingest_security_alerts.py --source etherscan-labels --label phish-hack --limit 200,Try ingesting external security address-risk labels into local normalized CSV.,data/security_events/security_events_normalized.csv; results/v14_security_alert_ingest_summary.csv,yes,yes,yes,Requires ETHERSCAN_API_KEY in environment. Current Etherscan metadata export may require higher access level; failure is recorded as warning without leaking the key.,yes
v14_etf_daily_digest,daily_digest,python scripts/build_etf_daily_digest.py,Fetch Farside public BTC ETF flow table and build daily ETF flow digest candidate.,data/etf_daily_flows_farside.csv; results/v14_etf_daily_digest.md; results/v14_etf_daily_digest_summary.csv,yes,yes,no,"Daily ETF flow belongs in evening digest, not intraday alerting. Uses public web data and marks low-flow days as archive-only.",yes
v14_first_hand_publish_candidates,publishing_quality,python scripts/build_first_hand_publish_candidates.py,"Route first-hand watcher alerts into intraday, digest, daily digest, or archive candidates.",data/v14_first_hand_publish_candidates.csv; results/v14_first_hand_publish_candidates_summary.csv; results/v14_first_hand_publish_candidates.md,yes,no,no,Static Hyperliquid snapshots are archived unless there is a real state change; token unlocks are digest-only; CEX listings are digest candidates.,yes
v14_publishable_criteria_validation,publishing_quality,python scripts/validate_publishable_criteria.py,Validate minimum publishable criteria against known historical golden events.,results/v14_publishable_criteria_validation.csv; results/v14_publishable_criteria_validation_summary.csv,yes,no,no,Golden sample contains expected publishable and non-publishable events; script fails if criteria rejects expected publishable events or admits expected rejects.,yes
v14_adversarial_golden_validation,publishing_quality,python scripts/generate_adversarial_golden_samples.py,Generate adversarial publishable/non-publishable samples and validate criteria against boundary cases.,data/v14_adversarial_golden_events.csv; results/v14_adversarial_golden_validation.csv; results/v14_adversarial_golden_validation_summary.csv,yes,no,no,Expected to expose some false positives/false negatives; a perfect score is suspicious rather than desirable.,yes
v14_etf_daily_digest_with_baseline,daily_digest,python scripts/build_etf_daily_digest_with_baseline.py,"Build ETF daily digest with rolling 90d percentile, same-period comparison, top ETF share, and calendar-effect threshold adjustment.",results/v14_etf_daily_digest_with_context.md; results/v14_etf_daily_digest_with_context_summary.csv,yes,no,no,"Uses already exported Farside data. Belongs in morning/evening digest, not high-frequency intraday alerts.",yes
v14_hyperliquid_snapshot_card_v2,daily_digest,python scripts/aggregate_hyperliquid_snapshot_with_baseline.py,"Aggregate Hyperliquid monitored positions with available baseline, market share, HYPE/non-HYPE long-short split, and liquidation-risk wording.",results/v14_hyperliquid_snapshot_card_v2.md; results/v14_hyperliquid_snapshot_v2_summary.csv,conditional,yes,no,"Uses Hyperliquid public API for total open interest. If 24h baseline is missing, the card must explicitly say so.",yes
v14_project_os_warning_review,project_os,python scripts/review_project_os_warnings.py,Classify non-blocking Project OS review items so they do not hide real launch blockers.,results/v14_project_os_warning_review.csv; results/v14_project_os_warning_review.md,yes,no,no,Review report only; does not suppress validation warnings.,yes
v14_false_positive_monitor,publishing_quality,python scripts/build_false_positive_monitor.py,Build offline false-positive and false-negative monitoring from adversarial validation without relying on user feedback.,results/v14_false_positive_monitor.csv; results/v14_false_positive_monitor_summary.csv; results/v14_false_positive_monitor.md,yes,no,no,Uses historical/adversarial validation only. Does not require TG user feedback or manual review.,yes
v14_false_negative_case_review,publishing_quality,python scripts/review_false_negative_cases.py,Review false-negative cases and identify required cross-validation evidence before loosening source gates.,results/v14_false_negative_case_review.csv; results/v14_false_negative_case_review_summary.csv; results/v14_false_negative_case_review.md,yes,no,no,Does not auto-loosen source_basis rules; produces evidence requirements for later rule changes.,yes
v14_hyperliquid_baseline_readiness,daily_digest,python scripts/validate_hyperliquid_baseline_readiness.py,Validate whether Hyperliquid snapshot baseline is mature enough to remove Beta wording from daily digests.,results/v14_hyperliquid_baseline_readiness.csv; results/v14_hyperliquid_baseline_readiness.md,yes,no,no,Uses existing Hyperliquid summary; does not wait or fetch live data.,yes
v14_weekly_fp_analysis,publishing_quality,python scripts/build_weekly_fp_analysis.py,"Build weekly offline FP/FN analysis from validation monitors, including reason distribution and rule-improvement next actions.",results/v14_weekly_fp_analysis.md; results/v14_weekly_fp_analysis_summary.csv,yes,no,no,Historical/offline validation only; no user feedback dependency.,yes
v14_market_state_snapshot,daily_digest,python scripts/build_market_state_snapshot.py,"Fetch public Binance USD-M price, volume, open-interest, funding, and crowding context for the first screen of TG digests.",results/v14_market_state_snapshot.csv; results/v14_market_state_snapshot_summary.csv; results/v14_market_state_snapshot.md,yes,yes,no,Observation-only market-structure context. Does not generate trade directions or orders.,yes
v14_focus_assets,daily_digest,python scripts/market/select_focus_assets.py,Select BTC/ETH-first focus assets and prevent small-cap assets from polluting TG digest first screen unless extreme thresholds are met.,results/v14_focus_assets.csv; results/v14_focus_assets_summary.csv,yes,no,no,Uses config/asset_tiers.yaml and market-state snapshot rows.,yes
v14_price_oi_quadrant,daily_digest,python scripts/market/classify_price_oi_quadrant.py,Classify price/open-interest combinations into plain-Chinese market-structure explanations.,results/v14_price_oi_quadrant.csv; results/v14_price_oi_quadrant_summary.csv,yes,no,no,Observation-only explanation layer; does not output trading instructions.,yes
v14_etf_plain_summary,daily_digest,python scripts/reporting/generate_etf_summary.py,Convert ETF daily flow percentile context into a short Chinese first-screen digest block.,results/v14_etf_plain_summary.md; results/v14_etf_plain_summary.csv; results/v14_etf_concentration_interpretation.txt,yes,no,no,Uses existing BTC ETF context summary and optional data/eth_etf_flows_farside.csv. ETH missing data is not faked.,yes
v14_eth_etf_fetch,daily_digest,python scripts/build_etf_daily_digest.py --asset ETH --url https://farside.co.uk/eth/ --output data/eth_etf_flows_farside.csv --digest-output results/v14_eth_etf_daily_digest.md --summary results/v14_eth_etf_daily_digest_summary.csv,Attempt to fetch public Farside ETH ETF flow table into local CSV for ETF first-screen summary.,data/eth_etf_flows_farside.csv; results/v14_eth_etf_daily_digest.md; results/v14_eth_etf_daily_digest_summary.csv,yes,yes,no,Currently may return warning/no_rows_parsed if Farside Cloudflare blocks local scraping. Do not fabricate ETH ETF data.,yes
v14_market_state_first_screen,daily_digest,python scripts/reporting/generate_market_state_summary.py,Generate a concise first-screen market-state block for TG morning/noon/evening digest.,results/v14_market_state_first_screen.md; results/v14_market_state_first_screen_summary.csv,yes,no,no,"Runs focus asset, quadrant, and ETF summary dependencies before rendering.",yes
v14_market_alert_headline,daily_digest,python scripts/reporting/generate_alert_headline.py,Generate one plain-Chinese abnormality headline for the top of TG market-state digest.,results/v14_market_alert_headline.txt; results/v14_market_alert_headline_summary.csv,yes,no,no,"Triggers on major BTC/ETH moves, ETF extremes, funding extremes, and high-priority event density.",yes
v14_derivatives_history_percentiles,daily_digest,python scripts/market/build_derivatives_history_percentiles.py,Fetch public Binance USD-M funding-rate and open-interest history and compute historical percentiles for TG market-state context.,data/funding_rate/funding_rate_percentiles.csv; data/oi/oi_percentiles.csv; results/v14_derivatives_history_percentiles_summary.csv; results/v14_derivatives_history_percentiles.md,yes,yes,no,Uses 90d funding history and 4h OI history to avoid waiting for local accumulation. Observation-only context.,yes
v15_percentile_alerts,daily_digest,python scripts/market/generate_percentile_alerts.py,"Convert derivative historical percentiles into layered TG placement buckets: first-screen alerts, today-watch candidates, radar triggers, and digest-only context.",results/v15_percentile_alerts.json; results/v15_percentile_alerts.csv; results/v15_percentile_alerts.md; results/v15_percentile_alerts_summary.csv,yes,no,no,Uses existing market-state and derivative-percentile files. Observation-only wording; no trading instructions.,yes
v15_hyperliquid_market_meta,first_hand_intel,python scripts/hyperliquid/fetch_market_meta.py && python scripts/hyperliquid/generate_market_meta_card.py,Fetch Hyperliquid official public perp market metadata and render a concise market-structure card.,data/hyperliquid/market_meta_snapshot.csv; data/hyperliquid/market_meta_history.csv; results/v15_hyperliquid_market_meta_card.md; results/v15_hyperliquid_market_meta_summary.csv,yes,yes,no,Uses official public info API metaAndAssetCtxs. Does not use third-party liquidation heatmap estimates.,yes
