candidate_id,label_source,title,source,published_at_china,primary_asset_symbol,event_type_l1,event_type_l2,event_scope,channel_route,relevance_score_realtime,review_focus,manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_channel_route,manual_useful_for_research,manual_notes
cand_00030,publish_review,纳斯达克上市绿色数据中心开发商 Soluna (SLNH) 发布 2026 年第一季度财报。数据显示，公司 Q1 营收达 940 万美元，同比增长 58%，实现连续四个季度的环比增长；受股权薪酬及融资成本上升影响，Q1 净亏损为 1790,webhook,2026-05-19 09:44:19 UTC+8,,regulation_macro,macro,market_wide,macro_policy,61.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00414,publish_review,代币化国债总额创历史新高达137亿美元,webhook,2026-05-19 01:50:17 UTC+8,,regulation_macro,macro,market_wide,macro_policy,61.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00081,publish_review,CryptoSlate 文章表示，RWA 代币化市场链上规模已接近 300 亿美元，但真正进入 DeFi 协议的活跃 TVL 仅约 24.7 亿美元，不到 10%。文章援引 DefiLlama 数据称，债券和货币市场基金、黄金、大宗商品及股,webhook,2026-05-19 08:31:40 UTC+8,,onchain_data,protocol_metric,market_wide,alpha_candidate,61.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,onchain_data,protocol_metric,,alpha_candidate,yes,auto_provisional(conf=0.80)
cand_00137,publish_review,Ostium与纳斯达克达成合作，推出股票永续合约,webhook,2026-05-19 07:07:37 UTC+8,,regulation_macro,macro,market_wide,macro_policy,61.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00402,publish_review,NYDIG warns US crypto market-structure bill could 'fail' if August window is missed,news:cryptonews,2026-05-19 02:00:00 UTC+8,,regulation_macro,regulation,market_wide,macro_policy,61.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00479,publish_review,Tempo集成Morpho借贷协议，扩展稳定币支付功能,webhook,2026-05-19 00:54:18 UTC+8,,stablecoin_flow,stablecoin,market_wide,macro_policy,61.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,stablecoin_flow,stablecoin,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00426,publish_review,"""Taxes on unrealized gains are absurd.""

Michael Green (@profplum99) on Dutch box 3 policy.

""They're trying to tax the",webhook,2026-05-19 01:37:33 UTC+8,,institutional_flow,etf_or_fund_flow,market_wide,macro_policy,63.25,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,institutional_flow,etf_or_fund_flow,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00232,publish_review,亚洲主导稳定币支付，近三分之二交易量来自亚洲,webhook,2026-05-19 05:15:00 UTC+8,,stablecoin_flow,stablecoin,market_wide,macro_policy,63.25,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,stablecoin_flow,stablecoin,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00095,publish_review,美SEC或最快本周推出代币化股票监管框架，华尔街加速布局链上证券,news:odaily_exchange_gap,2026-05-19 08:15:34 UTC+8,,regulation_macro,regulation,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_provisional(conf=0.80)
cand_00045,discard_audit,美联储在固定利率逆回购操作中总计接纳了21个对手方的71.93亿美元,news:jin10,2026-05-19 09:21:43 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00066,discard_audit,沃什周五将宣誓就任美联储主席 宣誓仪式由特朗普主持,news:jin10,2026-05-19 08:57:43 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00067,discard_audit,白宫官员：美国总统特朗普将于周五举行美联储主席提名人沃什的宣誓就职仪式,news:jin10,2026-05-19 08:53:24 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00072,discard_audit,据福克斯商业：美联储主席提名人沃什将于周五在白宫宣誓就职，宣誓仪式将由特朗普主持,news:jin10,2026-05-19 08:44:12 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00370,discard_audit,据日经新闻：巴西外长表示，巴西准备增加对日本的原油出口,news:jin10,2026-05-19 02:35:14 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00398,discard_audit,日本经济再生大臣赤泽亮正：巴西是与我们建立了紧密贸易与投资关系的重要伙伴，同时也是全球第九大产油国,news:jin10,2026-05-19 02:03:56 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00219,discard_audit,小摩：本月美债收益率的大幅上升或已接近峰值,news:jin10,2026-05-19 05:32:20 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00344,discard_audit,1. 与内塔尼亚胡通话，讨论重启对伊战事可能性——据以媒报道，以色列总理内塔尼亚胡与特朗普通电话，讨论重启对伊朗军事行动…,news:jin10,2026-05-19 03:13:11 UTC+8,,regulation_macro,macro,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95)
cand_00396,discard_audit,"Stock Market Today: S&P 500, Dow Jones Slip as Oil Prices and Treasury Yields Rise",news:coinpaper,2026-05-19 02:05:17 UTC+8,,regulation_macro,regulation,market_wide,macro_policy,64.5,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",discard,regulation_macro,regulation,,macro_policy,no,auto_provisional(conf=0.95)
cand_00142,publish_review,加密市场24小时清算金额达8.55亿美元,webhook,2026-05-19 07:01:58 UTC+8,,whale_position,whale_wallet_position,market_wide,alpha_candidate,64.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,whale_position,whale_wallet_position,,alpha_candidate,yes,auto_provisional(conf=0.80)
cand_00357,publish_review,"ZachXBT offers $10,000 bounty for evidence against Hong Kong market maker HSBG",news:cryptonews,2026-05-19 03:00:00 UTC+8,,hack_security,protocol_incident,market_wide,alpha_candidate,64.75,"no_auto_apply,missing_asset,manual_review_required,auto_provisional",approve_publish,hack_security,protocol_incident,,alpha_candidate,yes,auto_provisional(conf=0.80)
