manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_channel_route,manual_useful_for_research,manual_notes,label_source,candidate_id,published_at,published_at_utc,published_at_china,backtest_time,backtest_time_utc,backtest_time_china,source_timezone,source_timezone_assumption,title,content,source,url,primary_asset_symbol,candidate_asset_symbol,event_type_l1,event_type_l2,event_scope,publish_decision,research_priority,channel_route,tradability_tier,tradability_tier_reason,relevance_score_realtime,discard_reason,relevance_flags,detected_entity_names,entity_flags,suggested_manual_decision,suggested_manual_event_type_l1,suggested_manual_event_type_l2,suggested_manual_primary_asset_symbol,suggested_manual_channel_route,suggested_manual_useful_for_research,auto_label_confidence,auto_label_reasons,auto_label_apply,auto_prefilled,manual_review_required,label_origin,manual_filled,auto_apply,auto_conf,relevance_score,event_scope_norm,event_type_norm,label_source_norm,review_required,label_origin_norm,asset_missing,review_priority_score,review_focus
approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00030,2026-05-19 09:44:19 UTC+8,2026-05-19T01:44:19Z,2026-05-19 09:44:19 UTC+8,2026-05-19 09:44:19 UTC+8,2026-05-19T01:44:19Z,2026-05-19 09:44:19 UTC+8,Asia/Shanghai,source_rule:webhook,纳斯达克上市绿色数据中心开发商 Soluna (SLNH) 发布 2026 年第一季度财报。数据显示，公司 Q1 营收达 940 万美元，同比增长 58%，实现连续四个季度的环比增长；受股权薪酬及融资成本上升影响，Q1 净亏损为 1790,"纳斯达克上市绿色数据中心开发商 Soluna (SLNH) 发布 2026 年第一季度财报。数据显示，公司 Q1 营收达 940 万美元，同比增长 58%，实现连续四个季度的环比增长；受股权薪酬及融资成本上升影响，Q1 净亏损为 1790 万美元，调整后 EBITDA 亏损则同比微降至 210 万美元。业务方面，Soluna 提前完成了 48 MW 的 Kati 1A 项目建设，并正在推进规划 300+ MW 的 Kati 2 和 Dorothy 3 AI 算力中心园区。公司近期还斥资 5300 万美元收购了 150 MW 的 Briscoe 风电场，以实现算力与能源层的垂直整合。
https://t.co/S4HhRj1HLu",webhook,,,,regulation_macro,macro,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,US Dollar|Nasdaq|AI,,approve_publish,regulation_macro,macro,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,61.75,market_wide,regulation_macro,publish_review,True,auto_provisional,True,87.91,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00414,2026-05-19 01:50:17 UTC+8,2026-05-18T17:50:17Z,2026-05-19 01:50:17 UTC+8,2026-05-19 01:50:17 UTC+8,2026-05-18T17:50:17Z,2026-05-19 01:50:17 UTC+8,Asia/Shanghai,source_rule:webhook,代币化国债总额创历史新高达137亿美元,币界网消息，据Cointelegraph报道，代币化国债的总额达到了新的历史高点，达到137亿美元，主要由Circle、Securitize和Franklin Templeton领导。,webhook,,,,regulation_macro,macro,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,US Dollar|RWA,,approve_publish,regulation_macro,macro,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,61.75,market_wide,regulation_macro,publish_review,True,auto_provisional,True,87.91,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,onchain_data,protocol_metric,,alpha_candidate,yes,auto_provisional(conf=0.80),publish_review,cand_00081,2026-05-19 08:31:40 UTC+8,2026-05-19T00:31:40Z,2026-05-19 08:31:40 UTC+8,2026-05-19 08:31:40 UTC+8,2026-05-19T00:31:40Z,2026-05-19 08:31:40 UTC+8,Asia/Shanghai,source_rule:webhook,CryptoSlate 文章表示，RWA 代币化市场链上规模已接近 300 亿美元，但真正进入 DeFi 协议的活跃 TVL 仅约 24.7 亿美元，不到 10%。文章援引 DefiLlama 数据称，债券和货币市场基金、黄金、大宗商品及股,"CryptoSlate 文章表示，RWA 代币化市场链上规模已接近 300 亿美元，但真正进入 DeFi 协议的活跃 TVL 仅约 24.7 亿美元，不到 10%。文章援引 DefiLlama 数据称，债券和货币市场基金、黄金、大宗商品及股票类 RWA 多采用许可发行、KYC 和转让代理等架构，限制其进入开放 DeFi 协议；私募信贷则因产品原本按借贷场景设计，DeFi 使用率相对更高，约为 39%。文章认为，当前 RWA 市场正在分化为“受监管链上金融”和“DeFi 可组合资产”两条路径。
https://t.co/TrI6Oxe7eM",webhook,,,,onchain_data,protocol_metric,market_wide,human_review,medium,alpha_candidate,T1,direct_asset_event_with_price,61.75,,,US Dollar|RWA|DeFi|DefiLlama,,approve_publish,onchain_data,protocol_metric,,alpha_candidate,yes,0.8,"publish_decision=human_review,channel_route=alpha_candidate,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,61.75,market_wide,onchain_data,publish_review,True,auto_provisional,True,87.91,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00137,2026-05-19 07:07:37 UTC+8,2026-05-18T23:07:37Z,2026-05-19 07:07:37 UTC+8,2026-05-19 07:07:37 UTC+8,2026-05-18T23:07:37Z,2026-05-19 07:07:37 UTC+8,Asia/Shanghai,source_rule:webhook,Ostium与纳斯达克达成合作，推出股票永续合约,币界网消息，链上永续合约平台Ostium宣布与美国交易所运营商纳斯达克达成合作，成为首个基于纳斯达克数据提供股票永续合约产品的链上交易平台。Ostium由哈佛校友创立，累计融资2780万美元，投资方包括General Catalyst、Jump Crypto、Susquehanna与Alliance DAO等。,webhook,,,,regulation_macro,macro,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,US Dollar|Nasdaq,,approve_publish,regulation_macro,macro,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,61.75,market_wide,regulation_macro,publish_review,True,auto_provisional,True,87.91,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00402,2026-05-19 02:00:00 UTC+8,2026-05-18T18:00:00Z,2026-05-19 02:00:00 UTC+8,2026-05-19 02:00:00 UTC+8,2026-05-18T18:00:00Z,2026-05-19 02:00:00 UTC+8,UTC,source_rule:news:cryptonews,NYDIG warns US crypto market-structure bill could 'fail' if August window is missed,"NYDIG says a rare bipartisan window to pass a comprehensive US crypto market‑structure bill could slam shut if Congress fails to move it before the August recess.

Digital asset investment firm NYDIG has warned that the leading US crypto market-structure bill may effectively “fail” if it does not make substantial progress in Congress before lawmakers leave Washington for the August recess, according to FinanceFeeds. The firm argues that the fragile bipartisan consensus around a broad crypto regulatory framework amounts to a “brief window” that could slam shut once Congress returns to a calendar dominated by midterm elections, budget fights and partisan priorities.

NYDIG’s assessment is blunt: if the bill does not advance “in the coming months,” the probability of passage “may significantly decrease” as legislative attention fragments and the political cost of tackling crypto grows. In that scenario, the US risks replaying the past several years of gridlock, with high-profile enforcement actions filling the vacuum left by the absence of a clear statutory market-structure regime.

At stake is one of the most ambitious attempts yet to build a comprehensive federal framework for digital assets in the US. The draft bill is designed to clarify how tokens are classified, draw a bright line between securities overseen by the SEC and commodities under the CFTC, and create unified operational standards for exchanges, brokers and other crypto businesses.

According to the FinanceFeeds report, the proposed market-structure legislation would, for the first time, codify which digital assets fall under securities law and which are treated as commodities, addressing a long-running turf war between the SEC and CFTC. It would also establish common rules for trading venues and service providers, aiming to replace today’s patchwork of guidance, enforcement actions and state-by-state licensing with a single, more predictable regime.

But NYDIG notes that key issues remain unresolved, including stablecoin oversight, how to regulate DeFi protocols , the contours of consumer protection and how to handle conflicts of political interest. Those disagreements have slowed negotiations and raised doubts about whether lawmakers can lock in compromises before the August deadline.

The firm’s warning comes as global competition intensifies. NYDIG points out that extended US uncertainty is already driving capital, talent and innovation toward jurisdictions with clearer rules, citing the UAE , Singapore and the EU’s MiCA framework as examples of regions that are actively benefiting from America’s drift.

If Congress misses this legislative window, industry participants fear the US could again default to rulemaking by enforcement, with no durable settlement on market structure for years. That would leave exchanges, issuers and developers operating under legal ambiguity just as other financial centers lock in their own digital-asset regimes and pitch themselves as safer homes for long-term investment.",news:cryptonews,https://crypto.news/nydig-warns-us-crypto-market-structure-bill-could-fail-if-august-window-is-missed/,,,regulation_macro,regulation,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,SEC|CFTC|NYDIG,,approve_publish,regulation_macro,regulation,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,61.75,market_wide,regulation_macro,publish_review,True,auto_provisional,True,87.91,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,stablecoin_flow,stablecoin,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00479,2026-05-19 00:54:18 UTC+8,2026-05-18T16:54:18Z,2026-05-19 00:54:18 UTC+8,2026-05-19 00:54:18 UTC+8,2026-05-18T16:54:18Z,2026-05-19 00:54:18 UTC+8,Asia/Shanghai,source_rule:webhook,Tempo集成Morpho借贷协议，扩展稳定币支付功能,币界网消息，据Coindesk报道，由Stripe与Paradigm支持、专注于稳定币支付的区块链项目Tempo已集成DeFi借贷协议Morpho，将后者约75亿美元规模的借贷市场引入其网络。此次合作将允许在Tempo上构建的金融科技公司与企业直接在链上进行稳定币借贷及闲置资产收益管理，扩展其原有支付、外汇及结算功能。Morpho在Tempo上的借贷市场将由Gauntlet与Sentora提供风险管理支持，并采用Redstone预言机提供定价数据。,webhook,,,,stablecoin_flow,stablecoin,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,US Dollar|Stablecoin|DeFi|Morpho|Tempo,,approve_publish,stablecoin_flow,stablecoin,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,61.75,market_wide,stablecoin_flow,publish_review,True,auto_provisional,True,87.91,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,institutional_flow,etf_or_fund_flow,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00426,2026-05-19 01:37:33 UTC+8,2026-05-18T17:37:33Z,2026-05-19 01:37:33 UTC+8,2026-05-19 01:37:33 UTC+8,2026-05-18T17:37:33Z,2026-05-19 01:37:33 UTC+8,Asia/Shanghai,source_rule:webhook,"""Taxes on unrealized gains are absurd.""

Michael Green (@profplum99) on Dutch box 3 policy.

""They're trying to tax the","""Taxes on unrealized gains are absurd.""

Michael Green (@profplum99) on Dutch box 3 policy.

""They're trying to tax the failure to sell. To incentivize people to sell appreciated stock, sell the house. It's a band-aid on an already flawed strategy.""

""High-potential earners will lowball their future earnings and get the hell out. The ones with less confidence in their capability will get stuck.""

""You will end up with a nation of losers. But it takes a very long time.""

""The Netherlands has incredible resources, an extraordinarily well-educated population — not particularly well-educated in capitalism, but that's okay. It takes a lot to screw up a society.""

Quoting Adam Smith: ""There's much ruin in a nation.""

Translation: bad policy doesn't kill a country. It hollows it out one high earner at a time.

Who is already considering leaving the Netherlands, and where are you going?",webhook,,,,institutional_flow,etf_or_fund_flow,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,63.25,,,Strategy,,approve_publish,institutional_flow,etf_or_fund_flow,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,63.25,market_wide,institutional_flow,publish_review,True,auto_provisional,True,87.84,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,stablecoin_flow,stablecoin,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00232,2026-05-19 05:15:00 UTC+8,2026-05-18T21:15:00Z,2026-05-19 05:15:00 UTC+8,2026-05-19 05:15:00 UTC+8,2026-05-18T21:15:00Z,2026-05-19 05:15:00 UTC+8,Asia/Shanghai,source_rule:webhook,亚洲主导稳定币支付，近三分之二交易量来自亚洲,币界网消息，稳定币支付领域，近三分之二的交易量来自亚洲，主要由新加坡、香港和日本引领。北美约占25%，欧洲接近13%，而拉丁美洲和非洲的总量则低于10亿美元。,webhook,,,,stablecoin_flow,stablecoin,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,63.25,,,US Dollar|Stablecoin,,approve_publish,stablecoin_flow,stablecoin,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,63.25,market_wide,stablecoin_flow,publish_review,True,auto_provisional,True,87.84,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
approve_publish,regulation_macro,regulation,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00095,2026-05-19 08:15:34 UTC+8,2026-05-19T00:15:34Z,2026-05-19 08:15:34 UTC+8,2026-05-19 08:15:34 UTC+8,2026-05-19T00:15:34Z,2026-05-19 08:15:34 UTC+8,Asia/Shanghai,default_china,美SEC或最快本周推出代币化股票监管框架，华尔街加速布局链上证券,美国证监会（SEC）正准备推出一项针对代币化股票交易的新监管框架，最快可能于本周公布，据悉 SEC 正研究一项“创新豁免”机制，允许交易平台在更宽松的监管条件下提供上市证券的链上数字版本交易。此举被视为美国监管机构进一步转向支持代币化证券的重要信号。目前多家华尔街机构已加速布局相关业务。美国存管信托与清算公司美国存管信托与清算公司（DTCC）计划于 7 月启动代币化资产有限生产交易，并于 10 月扩大推广；纳斯达克纳斯达克正在开发基于区块链的股票发行框架；洲际交易所洲际交易所（ICE）则通过与 OKXOKX 合作推进代币化股票及加密相关产品。SEC 主席 Paul Atkins 此前表示，美国证监会正考虑为链上交易系统、区块链结算基础设施及加密托管模型制定正式规则，并认为现有证券法规已难以适配集交易、清算与结算于一体的链上协议。（CoinDesk）,news:odaily_exchange_gap,https://www.odaily.news/zh-CN/newsflash/482299,,,regulation_macro,regulation,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,64.5,,,SEC|Nasdaq|RWA,,approve_publish,regulation_macro,regulation,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.8,64.5,market_wide,regulation_macro,publish_review,True,auto_provisional,True,87.78,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00045,2026-05-19 09:21:43 UTC+8,2026-05-19T01:21:43Z,2026-05-19 09:21:43 UTC+8,2026-05-19 09:21:43 UTC+8,2026-05-19T01:21:43Z,2026-05-19 09:21:43 UTC+8,Asia/Shanghai,source_rule:news:jin10,美联储在固定利率逆回购操作中总计接纳了21个对手方的71.93亿美元,美联储在固定利率逆回购操作中总计接纳了21个对手方的71.93亿美元。,news:jin10,https://www.jin10.com/detail/20260519012143539800.html,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,64.5,"duplicate_non_primary,low_crypto_relevance",,Federal Reserve|Interest Rate|US Dollar,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional,True,False,0.95,64.5,market_wide,regulation_macro,discard_audit,True,auto_provisional,True,87.78,"no_auto_apply,missing_asset,manual_review_required,auto_provisional"
