item_id,source_file,response_type,line_number,section_heading,line_type,suggested_scope,recommendation_text,decision_status,decision_id,implementation_status,review_notes,content_sha256_16
claude_e8584b08d1e908d0,results\claude_next_response_20260527_163625.md,next_consultation,88,Priority 2: Collapse `other_review` Into Explicit Reject Reasons,bullet,unknown,Split `other_review` (210 rows) into:,pending,,not_started,,e8584b08d1e908d0
claude_284271b78b003f02,results\claude_next_response_20260527_163625.md,next_consultation,91,Priority 2: Collapse `other_review` Into Explicit Reject Reasons,bullet,unknown,"`reject_bad_entity` (entity extraction failed, mostly footer text)",pending,,not_started,,284271b78b003f02
claude_df61261b89f6b664,results\claude_next_response_20260527_163625.md,next_consultation,92,Priority 2: Collapse `other_review` Into Explicit Reject Reasons,bullet,data,Re-label 30 random `other_review` rows to calibrate the split,pending,,not_started,,df61261b89f6b664
claude_9930a5a678fe14b5,results\claude_next_response_20260527_163625.md,next_consultation,125,Priority 4: Implement Fast Manual Review Workflow,bullet,macro_policy,"3 buttons: Approve, Reject, Flag for policy review",pending,,not_started,,9930a5a678fe14b5
claude_2f6cf02f28ea050f,results\claude_next_response_20260527_163625.md,next_consultation,139,Priority 5: Separate Macro/Market-Wide Events Into Different TG Channel,numbered,tg,"**Macro channel**: Market-wide events (ETF flows, regulations, Fed policy)",pending,,not_started,,2f6cf02f28ea050f
claude_fb39e88ca7266317,results\claude_next_response_20260527_163625.md,next_consultation,140,Priority 5: Separate Macro/Market-Wide Events Into Different TG Channel,bullet,tg,Route `event_scope=market_wide` → macro channel,pending,,not_started,,fb39e88ca7266317
claude_d29fb6c4672bfd93,results\claude_next_response_20260527_163625.md,next_consultation,143,Priority 5: Separate Macro/Market-Wide Events Into Different TG Channel,bullet,tg,"Alpha channel: ""Should I trade THIS asset now?""",pending,,not_started,,d29fb6c4672bfd93
claude_99da987cf56b68bc,results\claude_next_response_20260527_163625.md,next_consultation,144,Priority 5: Separate Macro/Market-Wide Events Into Different TG Channel,bullet,tg,"Macro channel: ""Should I trade AT ALL today?""",pending,,not_started,,99da987cf56b68bc
claude_43e32108b1e3c62e,results\claude_next_response_20260527_163625.md,next_consultation,146,Priority 5: Separate Macro/Market-Wide Events Into Different TG Channel,sentence,tg,Mixing them dilutes both signals. Your current `macro_policy` holdout (27 rows) suggests you already know these are different.,pending,,not_started,,43e32108b1e3c62e
claude_11fddd4514b3479d,results\claude_next_response_20260527_163625.md,next_consultation,155,Q1: TG publishing - auto_publish vs human_review approval?,bullet,tg,**Recommendation**: Start with **human approval queue only**. No auto_publish for first 100 TG events.,pending,,not_started,,11fddd4514b3479d
claude_510672ec076f8adb,results\claude_next_response_20260527_163625.md,next_consultation,164,Q2: Macro events - same stream or separate?,bullet,macro_policy,**Recommendation**: **Separate channels** (see Priority 5).,pending,,not_started,,510672ec076f8adb
claude_0635db50b810a3c6,results\claude_next_response_20260527_163625.md,next_consultation,176,Q3: Benchmark for BTC/ETH events before market basket?,bullet,asset_attribution,"**Recommendation**: Use **BTC as universal benchmark** for all events, even ETH-specific ones.",pending,,not_started,,0635db50b810a3c6
claude_941d1c7af5b2a0c7,results\claude_next_response_20260527_163625.md,next_consultation,188,Q4: Crypto payment/adoption stories - publishable?,bullet,tg,**Recommendation**: **Research-only unless tied to tradable asset**.,pending,,not_started,,941d1c7af5b2a0c7
claude_68850a63b02ddcfd,results\claude_next_response_20260527_163625.md,next_consultation,195,Q4: Crypto payment/adoption stories - publishable?,bullet,tg,"**Reason**: Adoption stories are interesting but rarely actionable for short-term trading. Save them for a separate ""industry news"" channel later.",pending,,not_started,,68850a63b02ddcfd
claude_890299b1f956caae,results\claude_next_response_20260527_163625.md,next_consultation,200,Q5: Unsupported assets (HYPE/ONDO/WLD) - allow in publish review?,bullet,tg,"**Recommendation**: **Yes, but route to research_only** until Binance listing.",pending,,not_started,,890299b1f956caae
claude_04b47cdb7898f637,results\claude_next_response_20260527_163625.md,next_consultation,207,Q5: Unsupported assets (HYPE/ONDO/WLD) - allow in publish review?,bullet,tg,**Why**: These are leading indicators. HYPE events before listing might predict listing timing. Don't discard them.,pending,,not_started,,04b47cdb7898f637
claude_01d691fdc480379c,results\claude_next_response_20260527_163625.md,next_consultation,212,Q6: Opinion/analysis from KOLs - ever publishable?,bullet,tg,"**Recommendation**: **No, unless it's a position disclosure with size**.",pending,,not_started,,01d691fdc480379c
claude_d30652a6a6f9de3c,results\claude_next_response_20260527_163625.md,next_consultation,218,Q6: Opinion/analysis from KOLs - ever publishable?,bullet,tg,**Reason**: Opinions are infinite and noisy. Positions with size are rare and actionable (either fade or follow).,pending,,not_started,,d30652a6a6f9de3c
claude_70a0a617b386c364,results\claude_next_response_20260527_163625.md,next_consultation,225,Q7: Long-form article scraping pollution - how aggressive to discard?,bullet,asset_attribution,**Recommendation**: **Very aggressive**. Discard any article where entity extraction finds >10 distinct assets.,pending,,not_started,,70a0a617b386c364
claude_c4f5be89aa00a818,results\claude_next_response_20260527_163625.md,next_consultation,230,Q7: Long-form article scraping pollution - how aggressive to discard?,sentence,unknown,"route = ""reject_bad_entity""",pending,,not_started,,c4f5be89aa00a818
claude_54d096220dfada74,results\claude_next_response_20260527_163625.md,next_consultation,240,Q8: BTC miner equity / AI data-center stories - part of crypto stream?,bullet,asset_attribution,"**Recommendation**: **Separate ""Crypto Equities"" channel** (MSTR, COIN, RIOT, HIVE, etc.).",pending,,not_started,,54d096220dfada74
claude_3d19d0165e8da7fd,results\claude_next_response_20260527_163625.md,next_consultation,255,Q9: Enforcement/fraud/Ponzi - taxonomy placement?,bullet,taxonomy,**Recommendation**: Create new L1 type: **`legal_enforcement`**.,pending,,not_started,,3d19d0165e8da7fd
claude_f14de12b3f5fffd0,results\claude_next_response_20260527_163625.md,next_consultation,259,Q9: Enforcement/fraud/Ponzi - taxonomy placement?,bullet,taxonomy,"`regulation_macro` = policy change (new laws, SEC guidance)",pending,,not_started,,f14de12b3f5fffd0
claude_3a16aa0d18eaae9d,results\claude_next_response_20260527_163625.md,next_consultation,275,Q10: Minimum standard for auto_publish?,bullet,tg,**Recommendation**: **AI confidence >0.85 AND event_type in whitelist AND asset has Binance symbol**.,pending,,not_started,,3a16aa0d18eaae9d
claude_a6944b89387112c4,results\claude_next_response_20260527_163625.md,next_consultation,292,"Q11: Ground truth for publish quality - who labels, what fields, how many?",bullet,tg,**Recommendation**:,pending,,not_started,,a6944b89387112c4
claude_7818de48f682b0ec,results\claude_next_response_20260527_163625.md,next_consultation,295,"Q11: Ground truth for publish quality - who labels, what fields, how many?",bullet,tg,`publish_decision`: approve / reject / unsure,pending,,not_started,,7818de48f682b0ec
claude_a950c46e3b77058e,results\claude_next_response_20260527_163625.md,next_consultation,296,"Q11: Ground truth for publish quality - who labels, what fields, how many?",bullet,tg,`actionable`: yes / no (would you trade on this?),pending,,not_started,,a950c46e3b77058e
claude_ad1a028da099fbf8,results\claude_next_response_20260527_163625.md,next_consultation,308,Q12: Minimum human audit sampling rate per batch?,bullet,qa,"**Recommendation**: **20% audit for first 500 events, then 10% ongoing**.",pending,,not_started,,ad1a028da099fbf8
claude_637f96b7087d38ed,results\claude_next_response_20260527_163625.md,next_consultation,322,Q13: High-confidence discard labels - accept directly or require overturn checks?,bullet,data,"**Recommendation**: **Accept directly, but sample 5% monthly for overturn check**.",pending,,not_started,,637f96b7087d38ed
claude_f94cb41897f73c5f,results\claude_next_response_20260527_163625.md,next_consultation,327,Q13: High-confidence discard labels - accept directly or require overturn checks?,bullet,tg,If >10% should have been published → investigate (new event pattern? taxonomy drift?),pending,,not_started,,f94cb41897f73c5f
claude_735614aa5b6c6335,results\claude_next_response_20260527_163625.md,next_consultation,334,Q14: Human-AI conflict resolution - immediate rule update or batch retraining?,bullet,taxonomy,"**Recommendation**: **Immediate dictionary update for entity errors, batch retraining for classification errors**.",pending,,not_started,,735614aa5b6c6335
claude_30967ff79f855ab9,results\claude_next_response_20260527_163625.md,next_consultation,336,Q14: Human-AI conflict resolution - immediate rule update or batch retraining?,bullet,unknown,**Decision tree**:,pending,,not_started,,30967ff79f855ab9
claude_65d59665972c5e21,results\claude_next_response_20260527_163625.md,next_consultation,351,Q15: Should pipeline block TG drafts when manual_review_required exceeds threshold?,bullet,tg,"**Recommendation**: **No blocking. Always publish what's approved, queue the rest**.",pending,,not_started,,65d59665972c5e21
claude_234d348fca10dd59,results\claude_next_response_20260527_163625.md,next_consultation,358,Q15: Should pipeline block TG drafts when manual_review_required exceeds threshold?,bullet,tg,"**Why**: Blocking TG output because of review backlog defeats the purpose. Users should see approved events immediately. Your review backlog is your problem, not theirs.",pending,,not_started,,234d348fca10dd59
claude_90bf2d2b320698d0,results\claude_next_response_20260527_163625.md,next_consultation,365,Q16: Auto-closed low-risk audit pass-rate requirement?,bullet,qa,**Recommendation**: **95% pass-rate** before trusting auto-close in production.,pending,,not_started,,90bf2d2b320698d0
claude_cf9d0a835f8e8189,results\claude_next_response_20260527_163625.md,next_consultation,369,Q16: Auto-closed low-risk audit pass-rate requirement?,bullet,qa,If <95 are correctly closed → investigate failure mode,pending,,not_started,,cf9d0a835f8e8189
claude_d9da7855f56f09d3,results\claude_next_response_20260527_163625.md,next_consultation,377,Q17: Should other_review be split into explicit classes?,bullet,unknown,"**Recommendation**: **Yes, split into 3 classes** (see Priority 2):",pending,,not_started,,d9da7855f56f09d3
claude_4a7f0f70e47de3df,results\claude_next_response_20260527_163625.md,next_consultation,380,Q17: Should other_review be split into explicit classes?,numbered,unknown,"`reject_bad_entity` (entity extraction failed, scraper pollution)",pending,,not_started,,4a7f0f70e47de3df
claude_bc86cae49c2420e1,results\claude_next_response_20260527_163625.md,next_consultation,384,Q17: Should other_review be split into explicit classes?,bullet,unknown,"**Impact**: After split, you'll see that `reject_bad_entity` is 40% of ""other"" → fix scraper, not classifier.",pending,,not_started,,bc86cae49c2420e1
claude_0c2aeb10c492c030,results\claude_next_response_20260527_163625.md,next_consultation,389,Q18: Should research_only ever be promoted to publish?,bullet,tg,"**Recommendation**: **Yes, but only manually** (no auto-promotion).",pending,,not_started,,0c2aeb10c492c030
claude_7119cb9844d78bfa,results\claude_next_response_20260527_163625.md,next_consultation,400,Q19: Source-level reliability score?,bullet,data,**Recommendation**: **Not now. Solve after 500+ events**.,pending,,not_started,,7119cb9844d78bfa
claude_596be66586077ee9,results\claude_next_response_20260527_163625.md,next_consultation,403,Q19: Source-level reliability score?,bullet,data,You don't have enough data yet to score sources reliably,pending,,not_started,,596be66586077ee9
claude_022a039e67f9d9b1,results\claude_next_response_20260527_163625.md,next_consultation,412,Q20: Hard release gate for first TG draft pilot?,bullet,tg,**Recommendation**:,pending,,not_started,,022a039e67f9d9b1
claude_ac2470c80ed1abeb,results\claude_next_response_20260527_163625.md,next_consultation,418,Q20: Hard release gate for first TG draft pilot?,bullet,tg,❌ **NOT required**: Exploit primary-asset policy resolution,pending,,not_started,,ac2470c80ed1abeb
claude_9821fe8af4df430f,results\claude_next_response_20260527_163625.md,next_consultation,420,Q20: Hard release gate for first TG draft pilot?,bullet,tg,"**Gate check**: Can you publish 5 events/day for 2 weeks without breaking? If yes, ship.",pending,,not_started,,9821fe8af4df430f
claude_5ccf507151d7be68,results\v06_claude_after_gate_next_step.md,other,1,,sentence,unknown,﻿# Recommendation: **Another Quality Iteration First**,pending,,not_started,,5ccf507151d7be68
claude_d0a1a874a2a4e723,results\v06_claude_after_gate_next_step.md,other,4,Rationale,sentence,qa,"Your metrics hit the gates, but the setup has structural fragility:",pending,,not_started,,d0a1a874a2a4e723
claude_787029aa758fb3f0,results\v06_claude_after_gate_next_step.md,other,6,Rationale,bullet,macro_policy,**manual_review_required_rate at 9.95%** is passing but uncomfortably close to the 10% ceilingâone bad macro_policy batch tips you into violation,pending,,not_started,,787029aa758fb3f0
